source,original_path,last_commit,last_commit_date,bytes,recovered_as,status
docs/reports/plans,docs/reports/plans/phase1r_determinism_fix_evidence.md,8730830964b,2026-04-05 17:47:48 -0400,16776,phase1r_determinism_fix_evidence.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/phase2-detection-validation-feedback-loop-03252026.md,8730830964b,2026-04-05 17:47:48 -0400,5989,phase2-detection-validation-feedback-loop-03252026.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/phase2-landmine-remediation-e6e8fc.md,8730830964b,2026-04-05 17:47:48 -0400,14681,phase2-landmine-remediation-e6e8fc.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/phase2-multi-model-integration-7f2a1b.md,8730830964b,2026-04-05 17:47:48 -0400,2852,phase2-multi-model-integration-7f2a1b.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/phase2-runtime-adg-storage-completion-184787.md,8730830964b,2026-04-05 17:47:48 -0400,8283,phase2-runtime-adg-storage-completion-184787.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/phase21_post_code_validation_report.md,8730830964b,2026-04-05 17:47:48 -0400,5752,phase21_post_code_validation_report.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/phase22_post_code_validation_report.md,8730830964b,2026-04-05 17:47:48 -0400,5396,phase22_post_code_validation_report.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/phase23_post_code_validation_report.md,8730830964b,2026-04-05 17:47:48 -0400,6332,phase23_post_code_validation_report.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/phase2_assembly_stage_evidence.md,8730830964b,2026-04-05 17:47:48 -0400,6188,phase2_assembly_stage_evidence.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/phase2_determinism_thresholds_evidence.md,8730830964b,2026-04-05 17:47:48 -0400,16542,phase2_determinism_thresholds_evidence.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/phase2_evidence.md,8730830964b,2026-04-05 17:47:48 -0400,8083,phase2_evidence.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/phase2_gap_remediation_evidence.md,8730830964b,2026-04-05 17:47:48 -0400,7609,phase2_gap_remediation_evidence.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/phase2_remediation_plan.md,8730830964b,2026-04-05 17:47:48 -0400,6740,phase2_remediation_plan.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/phase2_remediation_plan_redesigned.md,8730830964b,2026-04-05 17:47:48 -0400,5643,phase2_remediation_plan_redesigned.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/phase2_retroactive_evidence.md,8730830964b,2026-04-05 17:47:48 -0400,5376,phase2_retroactive_evidence.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/phase2_ssot_promotion_evidence.md,8730830964b,2026-04-05 17:47:48 -0400,16862,phase2_ssot_promotion_evidence.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/phase2_wave1_final_forensic.md,8730830964b,2026-04-05 17:47:48 -0400,13931,phase2_wave1_final_forensic.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/phase2_wave1_retroactive_analysis.md,8730830964b,2026-04-05 17:47:48 -0400,8336,phase2_wave1_retroactive_analysis.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/phase2_wave1_retroactive_forensic.md,8730830964b,2026-04-05 17:47:48 -0400,10214,phase2_wave1_retroactive_forensic.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/phase2_wave1_static_analysis.md,8730830964b,2026-04-05 17:47:48 -0400,59978,phase2_wave1_static_analysis.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/phase2_wave2_classification_delta.md,8730830964b,2026-04-05 17:47:48 -0400,11287,phase2_wave2_classification_delta.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/phase2_wave2_hook_proof.md,8730830964b,2026-04-05 17:47:48 -0400,32759,phase2_wave2_hook_proof.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/phase2a_implementation_status.md,8730830964b,2026-04-05 17:47:48 -0400,6142,phase2a_implementation_status.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/phase3-adg-tracing-integration-completion-184787.md,8730830964b,2026-04-05 17:47:48 -0400,11859,phase3-adg-tracing-integration-completion-184787.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/phase3-advanced-features-optimization-9c4e2f.md,8730830964b,2026-04-05 17:47:48 -0400,4325,phase3-advanced-features-optimization-9c4e2f.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/phase3-auto-remediation-engine-03252026.md,8730830964b,2026-04-05 17:47:48 -0400,6621,phase3-auto-remediation-engine-03252026.md,LOST_RECOVERED
docs/reports/plans,docs/reports/plans/phase3-complete-03252026.md,8730830964b,2026-04-05 17:47:48 -0400,9346,phase3-complete-03252026.md,LOST_RECOVERED
